,joint_str,wrkt_str,target,output
4971,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,Patch the drywall holes in closet,House,-1
4972,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Patch the drywall holes in closet,House,-1
4973,Research Community Exposure,Patch the drywall holes in closet,House,-1
4974,Research cisco notes,Patch the drywall holes in closet,House,-1
4975,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,Patch the drywall holes in closet,House,-1
4976,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,Patch the drywall holes in closet,House,-1
4977,Umich clear emails MPACE,Patch the drywall holes in closet,House,-1
4978,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser,Patch the drywall holes in closet,House,1
4979,Jaseci open source update jaseci-serv actions,organize basement,House,-1
4980,Jaseci HLP Dev notes,organize basement,House,-1
4981,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,organize basement,House,-1
4982,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,organize basement,House,-1
4983,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,organize basement,House,-1
4984,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,organize basement,House,-1
4985,ME Health Health check physciatrist,organize basement,House,-1
4986,ME interests group find more volunteering opportunities,organize basement,House,-1
4987,ME Get in shape Relationship Health learn keyboard for 30 min interests group,organize basement,House,-1
4988,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,organize basement,House,-1
4989,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,organize basement,House,-1
4990,Research NS2.0 notes,organize basement,House,-1
4991,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,organize basement,House,-1
4992,Research GAN-GPT read GPT read Electra,organize basement,House,-1
4993,Research Reading MLsys seminar,organize basement,House,-1
4994,Research verint proposal Proposal,organize basement,House,-1
4995,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,organize basement,House,-1
4996,Research Bi/PolyEncoder,organize basement,House,-1
4997,Research Accuracy Efficiency slide deck,organize basement,House,-1
4998,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,organize basement,House,-1
4999,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,organize basement,House,-1
5000,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",organize basement,House,-1
5001,Research Community Exposure,organize basement,House,-1
5002,Research cisco notes,organize basement,House,-1
5003,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,organize basement,House,-1
5004,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,organize basement,House,-1
5005,Umich clear emails MPACE,organize basement,House,-1
5006,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet,organize basement,House,1
5007,Jaseci open source update jaseci-serv actions,LL weekly,Myca,-1
5008,Jaseci HLP Dev notes,LL weekly,Myca,-1
5009,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,LL weekly,Myca,-1
5010,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,LL weekly,Myca,-1
5011,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,LL weekly,Myca,-1
5012,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,LL weekly,Myca,-1
5013,ME Health Health check physciatrist,LL weekly,Myca,-1
5014,ME interests group find more volunteering opportunities,LL weekly,Myca,-1
5015,ME Get in shape Relationship Health learn keyboard for 30 min interests group,LL weekly,Myca,-1
5016,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,LL weekly,Myca,-1
5017,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,LL weekly,Myca,-1
5018,Research NS2.0 notes,LL weekly,Myca,-1
5019,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,LL weekly,Myca,-1
5020,Research GAN-GPT read GPT read Electra,LL weekly,Myca,-1
5021,Research Reading MLsys seminar,LL weekly,Myca,-1
5022,Research verint proposal Proposal,LL weekly,Myca,-1
5023,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,LL weekly,Myca,-1
5024,Research Bi/PolyEncoder,LL weekly,Myca,-1
5025,Research Accuracy Efficiency slide deck,LL weekly,Myca,-1
5026,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,LL weekly,Myca,-1
5027,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,LL weekly,Myca,-1
5028,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",LL weekly,Myca,-1
5029,Research Community Exposure,LL weekly,Myca,-1
5030,Research cisco notes,LL weekly,Myca,-1
5031,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,LL weekly,Myca,-1
5032,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,LL weekly,Myca,-1
5033,Umich clear emails MPACE,LL weekly,Myca,-1
5034,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,LL weekly,Myca,-1
5035,Green Card,LL weekly,Myca,-1
5036,Myca Commands,LL weekly,Myca,1
5037,Jaseci open source update jaseci-serv actions,track and record where user is logging in from,Myca Dev,-1
5038,Jaseci HLP Dev notes,track and record where user is logging in from,Myca Dev,-1
5039,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,track and record where user is logging in from,Myca Dev,-1
5040,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,track and record where user is logging in from,Myca Dev,-1
5041,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,track and record where user is logging in from,Myca Dev,-1
5042,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,track and record where user is logging in from,Myca Dev,-1
5043,ME Health Health check physciatrist,track and record where user is logging in from,Myca Dev,-1
5044,ME interests group find more volunteering opportunities,track and record where user is logging in from,Myca Dev,-1
5045,ME Get in shape Relationship Health learn keyboard for 30 min interests group,track and record where user is logging in from,Myca Dev,-1
5046,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,track and record where user is logging in from,Myca Dev,-1
5047,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,track and record where user is logging in from,Myca Dev,-1
5048,Research NS2.0 notes,track and record where user is logging in from,Myca Dev,-1
5049,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,track and record where user is logging in from,Myca Dev,-1
5050,Research GAN-GPT read GPT read Electra,track and record where user is logging in from,Myca Dev,-1
5051,Research Reading MLsys seminar,track and record where user is logging in from,Myca Dev,-1
5052,Research verint proposal Proposal,track and record where user is logging in from,Myca Dev,-1
5053,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,track and record where user is logging in from,Myca Dev,-1
5054,Research Bi/PolyEncoder,track and record where user is logging in from,Myca Dev,-1
5055,Research Accuracy Efficiency slide deck,track and record where user is logging in from,Myca Dev,-1
5056,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,track and record where user is logging in from,Myca Dev,-1
5057,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,track and record where user is logging in from,Myca Dev,-1
5058,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",track and record where user is logging in from,Myca Dev,-1
5059,Research Community Exposure,track and record where user is logging in from,Myca Dev,-1
5060,Research cisco notes,track and record where user is logging in from,Myca Dev,-1
5061,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,track and record where user is logging in from,Myca Dev,-1
5062,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,track and record where user is logging in from,Myca Dev,-1
5063,Umich clear emails MPACE,track and record where user is logging in from,Myca Dev,-1
5064,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,track and record where user is logging in from,Myca Dev,-1
5065,Green Card,track and record where user is logging in from,Myca Dev,-1
5066,Myca Myca Dev wiki set up instructions,track and record where user is logging in from,Myca Dev,1
5067,Myca Commands LL weekly Myca Dev,track and record where user is logging in from,Myca Dev,-1
5068,Jaseci open source update jaseci-serv actions,latency reduction of the jac implementaiton,Myca Dev,-1
5069,Jaseci HLP Dev notes,latency reduction of the jac implementaiton,Myca Dev,-1
5070,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,latency reduction of the jac implementaiton,Myca Dev,-1
5071,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,latency reduction of the jac implementaiton,Myca Dev,-1
5072,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,latency reduction of the jac implementaiton,Myca Dev,-1
5073,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,latency reduction of the jac implementaiton,Myca Dev,-1
5074,ME Health Health check physciatrist,latency reduction of the jac implementaiton,Myca Dev,-1
5075,ME interests group find more volunteering opportunities,latency reduction of the jac implementaiton,Myca Dev,-1
5076,ME Get in shape Relationship Health learn keyboard for 30 min interests group,latency reduction of the jac implementaiton,Myca Dev,-1
5077,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,latency reduction of the jac implementaiton,Myca Dev,-1
5078,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,latency reduction of the jac implementaiton,Myca Dev,-1
5079,Research NS2.0 notes,latency reduction of the jac implementaiton,Myca Dev,-1
5080,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,latency reduction of the jac implementaiton,Myca Dev,-1
5081,Research GAN-GPT read GPT read Electra,latency reduction of the jac implementaiton,Myca Dev,-1
5082,Research Reading MLsys seminar,latency reduction of the jac implementaiton,Myca Dev,-1
5083,Research verint proposal Proposal,latency reduction of the jac implementaiton,Myca Dev,-1
5084,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,latency reduction of the jac implementaiton,Myca Dev,-1
5085,Research Bi/PolyEncoder,latency reduction of the jac implementaiton,Myca Dev,-1
5086,Research Accuracy Efficiency slide deck,latency reduction of the jac implementaiton,Myca Dev,-1
5087,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,latency reduction of the jac implementaiton,Myca Dev,-1
5088,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,latency reduction of the jac implementaiton,Myca Dev,-1
5089,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",latency reduction of the jac implementaiton,Myca Dev,-1
5090,Research Community Exposure,latency reduction of the jac implementaiton,Myca Dev,-1
5091,Research cisco notes,latency reduction of the jac implementaiton,Myca Dev,-1
5092,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,latency reduction of the jac implementaiton,Myca Dev,-1
5093,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,latency reduction of the jac implementaiton,Myca Dev,-1
5094,Umich clear emails MPACE,latency reduction of the jac implementaiton,Myca Dev,-1
5095,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,latency reduction of the jac implementaiton,Myca Dev,-1
5096,Green Card,latency reduction of the jac implementaiton,Myca Dev,-1
5097,Myca Myca Dev wiki set up instructions track and record where user is logging in from,latency reduction of the jac implementaiton,Myca Dev,1
5098,Myca Commands LL weekly Myca Dev,latency reduction of the jac implementaiton,Myca Dev,-1
5099,Jaseci open source update jaseci-serv actions,think about how to do AI improvement,Myca Dev,-1
5100,Jaseci HLP Dev notes,think about how to do AI improvement,Myca Dev,-1
5101,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,think about how to do AI improvement,Myca Dev,-1
5102,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,think about how to do AI improvement,Myca Dev,-1
5103,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,think about how to do AI improvement,Myca Dev,-1
5104,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,think about how to do AI improvement,Myca Dev,-1
5105,ME Health Health check physciatrist,think about how to do AI improvement,Myca Dev,-1
5106,ME interests group find more volunteering opportunities,think about how to do AI improvement,Myca Dev,-1
5107,ME Get in shape Relationship Health learn keyboard for 30 min interests group,think about how to do AI improvement,Myca Dev,-1
5108,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,think about how to do AI improvement,Myca Dev,-1
5109,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,think about how to do AI improvement,Myca Dev,-1
5110,Research NS2.0 notes,think about how to do AI improvement,Myca Dev,-1
5111,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,think about how to do AI improvement,Myca Dev,-1
5112,Research GAN-GPT read GPT read Electra,think about how to do AI improvement,Myca Dev,-1
5113,Research Reading MLsys seminar,think about how to do AI improvement,Myca Dev,-1
5114,Research verint proposal Proposal,think about how to do AI improvement,Myca Dev,-1
5115,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,think about how to do AI improvement,Myca Dev,-1
5116,Research Bi/PolyEncoder,think about how to do AI improvement,Myca Dev,-1
5117,Research Accuracy Efficiency slide deck,think about how to do AI improvement,Myca Dev,-1
5118,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,think about how to do AI improvement,Myca Dev,-1
5119,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,think about how to do AI improvement,Myca Dev,-1
5120,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",think about how to do AI improvement,Myca Dev,-1
5121,Research Community Exposure,think about how to do AI improvement,Myca Dev,-1
5122,Research cisco notes,think about how to do AI improvement,Myca Dev,-1
5123,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,think about how to do AI improvement,Myca Dev,-1
5124,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,think about how to do AI improvement,Myca Dev,-1
5125,Umich clear emails MPACE,think about how to do AI improvement,Myca Dev,-1
5126,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,think about how to do AI improvement,Myca Dev,-1
5127,Green Card,think about how to do AI improvement,Myca Dev,-1
5128,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton,think about how to do AI improvement,Myca Dev,1
5129,Myca Commands LL weekly Myca Dev,think about how to do AI improvement,Myca Dev,-1
5130,Jaseci open source update jaseci-serv actions,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5131,Jaseci HLP Dev notes,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5132,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5133,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5134,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5135,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5136,ME Health Health check physciatrist,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5137,ME interests group find more volunteering opportunities,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5138,ME Get in shape Relationship Health learn keyboard for 30 min interests group,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5139,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5140,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5141,Research NS2.0 notes,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5142,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5143,Research GAN-GPT read GPT read Electra,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5144,Research Reading MLsys seminar,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5145,Research verint proposal Proposal,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5146,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5147,Research Bi/PolyEncoder,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5148,Research Accuracy Efficiency slide deck,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5149,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5150,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5151,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5152,Research Community Exposure,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5153,Research cisco notes,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5154,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5155,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5156,Umich clear emails MPACE,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5157,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5158,Green Card,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5159,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement,potential performance slowdown overtime due to redis caching?,Myca Dev,1
5160,Myca Commands LL weekly Myca Dev,potential performance slowdown overtime due to redis caching?,Myca Dev,-1
5161,Jaseci open source update jaseci-serv actions,set up weekly user usage tracking,Myca,-1
5162,Jaseci HLP Dev notes,set up weekly user usage tracking,Myca,-1
5163,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,set up weekly user usage tracking,Myca,-1
5164,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,set up weekly user usage tracking,Myca,-1
5165,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,set up weekly user usage tracking,Myca,-1
5166,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,set up weekly user usage tracking,Myca,-1
5167,ME Health Health check physciatrist,set up weekly user usage tracking,Myca,-1
5168,ME interests group find more volunteering opportunities,set up weekly user usage tracking,Myca,-1
5169,ME Get in shape Relationship Health learn keyboard for 30 min interests group,set up weekly user usage tracking,Myca,-1
5170,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,set up weekly user usage tracking,Myca,-1
5171,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,set up weekly user usage tracking,Myca,-1
5172,Research NS2.0 notes,set up weekly user usage tracking,Myca,-1
5173,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,set up weekly user usage tracking,Myca,-1
5174,Research GAN-GPT read GPT read Electra,set up weekly user usage tracking,Myca,-1
5175,Research Reading MLsys seminar,set up weekly user usage tracking,Myca,-1
5176,Research verint proposal Proposal,set up weekly user usage tracking,Myca,-1
5177,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,set up weekly user usage tracking,Myca,-1
5178,Research Bi/PolyEncoder,set up weekly user usage tracking,Myca,-1
5179,Research Accuracy Efficiency slide deck,set up weekly user usage tracking,Myca,-1
5180,Research Pathway to Open Source Grant notes follow up with one pager exec summary POSE contribution model text and diagrams,set up weekly user usage tracking,Myca,-1
5181,Research Hitach/AVTN VILD Repo Notes Arxiv paper plan,set up weekly user usage tracking,Myca,-1
5182,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",set up weekly user usage tracking,Myca,-1
5183,Research Community Exposure,set up weekly user usage tracking,Myca,-1
5184,Research cisco notes,set up weekly user usage tracking,Myca,-1
5185,Research Students Roland Daynauth Chris Clarke Huanchen Sun Baichuan Li Stefan Heng Joshua Kisson Alex Zongyu Chen,set up weekly user usage tracking,Myca,-1
5186,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco Students PH --> NS,set up weekly user usage tracking,Myca,-1
5187,Umich clear emails MPACE,set up weekly user usage tracking,Myca,-1
5188,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,set up weekly user usage tracking,Myca,-1
5189,Green Card,set up weekly user usage tracking,Myca,-1
5190,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,set up weekly user usage tracking,Myca,-1
5191,Myca Commands LL weekly Myca Dev Myca Working Diary Myca Q1 Goals,set up weekly user usage tracking,Myca,1
5192,Jaseci open source update jaseci-serv actions,test coverage for highlight walker,Myca,-1
5193,Jaseci HLP Dev notes,test coverage for highlight walker,Myca,-1
5194,Jaseci commands and resource v75 progress Jaseci Master Plan open source HLP update canoniCAI,test coverage for highlight walker,Myca,-1
5195,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,test coverage for highlight walker,Myca,-1
5196,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,test coverage for highlight walker,Myca,-1
5197,ME Relationship facetime with parents special dinner with JaLi check Xiang messages,test coverage for highlight walker,Myca,-1
5198,ME Health Health check physciatrist,test coverage for highlight walker,Myca,-1
5199,ME interests group find more volunteering opportunities,test coverage for highlight walker,Myca,-1
5200,ME Get in shape Relationship Health learn keyboard for 30 min interests group,test coverage for highlight walker,Myca,-1
5201,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,test coverage for highlight walker,Myca,-1
5202,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,test coverage for highlight walker,Myca,-1
5203,Research NS2.0 notes,test coverage for highlight walker,Myca,-1
